found_item_id,user_id,organization_id,category_id,title,description,size,date_found,location_lat,location_lng,location_name,status,created_at
1,74,1,2,Driving license,Found - Driving license. Can mouth discover next property government however score.,Large,2026-04-28,33.9989246,71.4685152,IMSciences Main Gate,Pending,2026-04-28 20:09:00
2,78,1,1,USB drive 32GB,Found - USB drive 32GB. Least back fine investment identify policy.,Small,2026-04-14,33.9990161,71.4686394,IMSciences Library 2nd Floor,Pending,2026-04-14 21:01:00
3,18,1,1,Power bank,Found - Power bank. If whom commercial way least ready gun.,Small,2026-04-28,33.9992795,71.4685697,IMSciences Sports Ground,Pending,2026-04-28 19:26:00
4,69,1,1,Samsung Galaxy phone,Found - Samsung Galaxy phone. During open model how financial fund four.,Medium,2026-04-02,33.9993112,71.4686353,IMSciences Block C,Pending,2026-04-02 16:14:00
5,80,1,1,Calculator (Casio fx-991),Found - Calculator (Casio fx-991). Member box member town glass road.,Medium,2026-03-31,33.9992573,71.4684425,IMSciences Block C,Closed,2026-03-31 21:25:00
6,56,1,6,Red scarf,Found - Red scarf. Bill eight community check service away week physical less.,Medium,2026-05-10,33.9992139,71.4683794,IMSciences Lab 1,Pending,2026-05-10 17:09:00
7,10,1,2,Admit slip,Found - Admit slip. Large under north play person ten physical character attention kind field ever argue.,Large,2026-05-05,33.9988841,71.4685349,IMSciences Mosque,Pending,2026-05-05 17:33:00
8,39,1,4,Slim wallet,Found - Slim wallet. Financial later arm story baby ten.,Large,2026-03-25,33.9989897,71.4686907,IMSciences Block B,Returned,2026-03-25 18:56:00
9,100,1,5,Tote bag,Found - Tote bag. Order his oil west school American training occur could painting may whatever late.,Medium,2026-04-19,33.9993552,71.4685955,IMSciences Block C,Returned,2026-04-19 14:26:00
10,95,1,1,Power bank,Found - Power bank. Mean common easy just keep mission city.,Medium,2026-04-22,33.999166,71.4685297,IMSciences Block A,Pending,2026-04-22 22:30:00
11,10,1,1,Samsung Galaxy phone,Found - Samsung Galaxy phone. Hold simple quickly appear piece free form newspaper hit.,Small,2026-04-10,33.9989886,71.4687055,IMSciences Block B,Returned,2026-04-10 16:03:00
12,77,1,5,Travel suitcase,Found - Travel suitcase. Their four old center glass whose recognize hot organization visit finally heavy social.,Large,2026-03-29,33.9989143,71.4686494,IMSciences Library 1st Floor,Returned,2026-03-29 14:55:00
13,94,1,1,USB drive 32GB,Found - USB drive 32GB. Behavior provide meet adult final week game she court yourself choice fast.,Large,2026-03-26,33.9988407,71.4684312,IMSciences Parking Area,Pending,2026-03-26 18:30:00
14,30,1,7,Lunch box,Found - Lunch box. Side strong this also from short capital heavy class story side speak.,Medium,2026-04-02,33.9988025,71.468166,IMSciences Admin Office,Pending,2026-04-02 11:51:00
15,56,1,7,Water bottle,Found - Water bottle. Analysis hair rest wide particular sell six doctor dream whole six.,Large,2026-04-04,33.9988631,71.4684374,IMSciences Reception,Pending,2026-04-04 12:44:00
16,99,1,3,Hostel room keys,Found - Hostel room keys. Question now key show sing me industry class current painting.,Medium,2026-04-10,33.9986726,71.4681973,IMSciences Cafeteria,Matched,2026-04-10 09:09:00
17,96,1,6,Black jacket,Found - Black jacket. Political them never bill suffer surface.,Small,2026-04-13,33.9990622,71.4685005,IMSciences Lab 1,Pending,2026-04-13 10:23:00
18,41,1,6,Cardigan,Found - Cardigan. Several evening town challenge join watch develop.,Large,2026-04-29,33.999184,71.468521,IMSciences Sports Ground,Pending,2026-04-29 17:03:00
19,88,1,1,USB drive 32GB,Found - USB drive 32GB. Us increase how hear history bank different five between research.,Medium,2026-04-18,33.9988196,71.4684928,IMSciences Mosque,Pending,2026-04-18 11:48:00
20,67,1,1,Power bank,Found - Power bank. Case expert stop receive catch relationship large.,Medium,2026-03-17,33.9988633,71.4685714,IMSciences Library 1st Floor,Pending,2026-03-17 18:19:00
21,7,1,2,Result card,Found - Result card. Affect democratic change vote participant institution simply.,Large,2026-04-09,33.9986031,71.4682606,IMSciences Cafeteria,Pending,2026-04-09 10:48:00
